County,Agency,Year,Months Reported,Total Index Crimes,Violent,Murder,Forcible Rape,Robbery,Aggravated Assault,Property,Burglary,Larceny,Motor Vehicle Theft
Suffolk,Riverhead Town PD,1994,,1048,242,7,0,33,202,806,290,470,46
Suffolk,Riverhead Town PD,1996,,933,169,4,0,19,146,764,289,446,29
Suffolk,Riverhead Town PD,1995,,1099,186,3,2,34,147,913,311,560,42
Suffolk,Riverhead Town PD,2005,12,1507,153,3,8,62,80,1354,187,1142,25
Suffolk,Riverhead Town PD,1992,,1113,237,2,9,32,194,876,359,486,31
Suffolk,Riverhead Town PD,1997,,1679,150,2,1,28,119,1529,363,1127,39
Suffolk,Riverhead Town PD,2001,,1586,110,2,8,20,80,1476,290,1150,36
Suffolk,Riverhead Town PD,2002,12,1603,113,1,11,25,76,1490,227,1237,26
Suffolk,Riverhead Town PD,1998,,1592,140,1,4,26,109,1452,237,1204,11
Suffolk,Riverhead Town PD,1999,,1841,147,1,2,27,117,1694,304,1372,18
Suffolk,Riverhead Town PD,2000,,1908,121,1,2,27,91,1787,258,1486,43
Suffolk,Riverhead Town PD,2003,12,1438,106,1,4,32,69,1332,295,1001,36
Suffolk,Riverhead Town PD,2009,12,1112,101,1,7,44,49,1011,157,825,29
Suffolk,Riverhead Town PD,2007,12,954,90,1,3,31,55,864,173,658,33
Suffolk,Riverhead Town PD,2013,12,986,64,0,3,26,35,922,160,729,33
Suffolk,Riverhead Town PD,1991,,1241,211,0,2,44,165,1030,429,586,15
Suffolk,Riverhead Town PD,1993,,1070,211,0,5,29,177,859,326,511,22
Suffolk,Riverhead Town PD,2004,12,1276,113,0,9,57,47,1163,225,906,32
Suffolk,Riverhead Town PD,2006,12,1149,146,0,8,66,72,1003,166,815,22
Suffolk,Riverhead Town PD,2008,12,1196,111,0,4,36,71,1085,192,864,29
Suffolk,Riverhead Town PD,2010,12,1144,82,0,2,28,52,1062,155,879,28
Suffolk,Riverhead Town PD,2011,12,1049,75,0,3,18,54,974,168,784,22
Suffolk,Riverhead Town PD,2012,12,1056,76,0,4,30,42,980,122,835,23
Suffolk,Riverhead Town PD,1990,,1054,202,0,3,34,165,852,318,512,22
